,gene,gencodeId,tissue,age,gender,TPM
0,ERCC8,ENSG00000049167.13,Kidney_Cortex,20-29,male,2.903
1,ERCC8,ENSG00000049167.13,Kidney_Cortex,30-39,male,5.028
2,ERCC8,ENSG00000049167.13,Kidney_Cortex,30-39,male,11.31
3,ERCC8,ENSG00000049167.13,Kidney_Cortex,30-39,male,3.175
4,ERCC8,ENSG00000049167.13,Kidney_Cortex,30-39,male,5.422
5,ERCC8,ENSG00000049167.13,Kidney_Cortex,30-39,male,3.223
6,ERCC8,ENSG00000049167.13,Kidney_Cortex,30-39,male,8.612
7,ERCC8,ENSG00000049167.13,Kidney_Cortex,30-39,female,3.341
8,ERCC8,ENSG00000049167.13,Kidney_Cortex,30-39,female,4.225
9,ERCC8,ENSG00000049167.13,Kidney_Cortex,40-49,male,7.909
10,ERCC8,ENSG00000049167.13,Kidney_Cortex,40-49,male,2.575
11,ERCC8,ENSG00000049167.13,Kidney_Cortex,40-49,male,2.382
12,ERCC8,ENSG00000049167.13,Kidney_Cortex,40-49,male,4.341
13,ERCC8,ENSG00000049167.13,Kidney_Cortex,40-49,male,1.788
14,ERCC8,ENSG00000049167.13,Kidney_Cortex,40-49,male,4.137
15,ERCC8,ENSG00000049167.13,Kidney_Cortex,40-49,female,3.774
16,ERCC8,ENSG00000049167.13,Kidney_Cortex,40-49,female,1.96
17,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,7.053
18,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,5.211
19,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,2.49
20,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,2.49
21,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,6.472
22,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,4.803
23,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,9.497
24,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,4.203
25,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,3.441
26,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,2.337
27,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,3.148
28,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,7.352
29,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,3.203
30,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,1.983
31,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,1.953
32,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,1.822
33,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,6.337
34,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,3.381
35,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,11.77
36,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,2.632
37,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,9.546
38,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,7.212
39,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,3.878
40,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,male,3.063
41,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,female,2.853
42,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,female,2.444
43,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,female,2.49
44,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,female,2.49
45,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,female,2.287
46,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,female,5.236
47,ERCC8,ENSG00000049167.13,Kidney_Cortex,50-59,female,7.138
48,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,3.351
49,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,2.547
50,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,5.303
51,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,2.597
52,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,3.764
53,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,3.216
54,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,3.044
55,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,4.146
56,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,6.818
57,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,3.735
58,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,4.381
59,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,3.149
60,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,2.949
61,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,5.476
62,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,3.523
63,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,4.418
64,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,1.914
65,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,3.944
66,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,6.397
67,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,2.253
68,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,5.319
69,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,2.762
70,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,1.731
71,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,1.641
72,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,2.418
73,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,male,12.02
74,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,female,5.976
75,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,female,4.058
76,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,female,1.988
77,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,female,3.18
78,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,female,4.396
79,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,female,8.603
80,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,female,2.494
81,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,female,3.015
82,ERCC8,ENSG00000049167.13,Kidney_Cortex,60-69,female,5.223
83,ERCC8,ENSG00000049167.13,Kidney_Cortex,70-79,male,3.451
84,ERCC8,ENSG00000049167.13,Kidney_Cortex,70-79,male,3.811
85,ERCC8,ENSG00000049167.13,Kidney_Cortex,70-79,male,6.673
86,ERCC8,ENSG00000049167.13,Kidney_Cortex,70-79,male,3.856
