,gene,gencodeId,tissue,age,gender,TPM
0,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,20-29,male,13.73
1,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,20-29,male,14.04
2,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,20-29,male,13.86
3,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,20-29,male,13.86
4,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,20-29,male,12.95
5,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,20-29,male,8.223
6,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,20-29,female,14.84
7,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,20-29,female,13.73
8,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,20-29,female,11.82
9,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,20-29,female,16.4
10,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,30-39,male,9.538
11,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,30-39,male,14.79
12,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,30-39,male,10.03
13,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,30-39,female,15.6
14,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,30-39,female,27.18
15,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,40-49,male,9.588
16,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,40-49,male,5.698
17,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,40-49,male,9.672
18,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,40-49,male,13.57
19,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,40-49,male,10.11
20,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,40-49,male,14.52
21,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,40-49,male,11.66
22,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,40-49,male,9.074
23,GCLC,ENSG00000001084.10,Brain_Cerebellar_Hemisphere,40-49,male,20.75
