,gene,gencodeId,tissue,age,gender,TPM
0,POLG,ENSG00000140521.12,Brain_Amygdala,20-29,male,14.52
1,POLG,ENSG00000140521.12,Brain_Amygdala,20-29,male,14.15
2,POLG,ENSG00000140521.12,Brain_Amygdala,20-29,male,20.95
3,POLG,ENSG00000140521.12,Brain_Amygdala,20-29,female,6.716
4,POLG,ENSG00000140521.12,Brain_Amygdala,20-29,female,8.324
5,POLG,ENSG00000140521.12,Brain_Amygdala,30-39,male,11.29
6,POLG,ENSG00000140521.12,Brain_Amygdala,30-39,male,11.29
7,POLG,ENSG00000140521.12,Brain_Amygdala,30-39,male,7.862
8,POLG,ENSG00000140521.12,Brain_Amygdala,30-39,female,4.357
9,POLG,ENSG00000140521.12,Brain_Amygdala,30-39,female,10.46
10,POLG,ENSG00000140521.12,Brain_Amygdala,40-49,male,5.797
11,POLG,ENSG00000140521.12,Brain_Amygdala,40-49,male,4.726
12,POLG,ENSG00000140521.12,Brain_Amygdala,40-49,male,10.91
13,POLG,ENSG00000140521.12,Brain_Amygdala,40-49,male,13.35
14,POLG,ENSG00000140521.12,Brain_Amygdala,40-49,male,6.15
15,POLG,ENSG00000140521.12,Brain_Amygdala,40-49,male,4.742
16,POLG,ENSG00000140521.12,Brain_Amygdala,40-49,male,17.17
17,POLG,ENSG00000140521.12,Brain_Amygdala,40-49,male,9.857
18,POLG,ENSG00000140521.12,Brain_Amygdala,40-49,female,7.666
19,POLG,ENSG00000140521.12,Brain_Amygdala,40-49,female,10.88
20,POLG,ENSG00000140521.12,Brain_Amygdala,40-49,female,9.397
21,POLG,ENSG00000140521.12,Brain_Amygdala,40-49,female,6.513
22,POLG,ENSG00000140521.12,Brain_Amygdala,40-49,female,7.666
23,POLG,ENSG00000140521.12,Brain_Amygdala,40-49,female,13.52
24,POLG,ENSG00000140521.12,Brain_Amygdala,40-49,female,10.88
25,POLG,ENSG00000140521.12,Brain_Amygdala,50-59,male,7.281
26,POLG,ENSG00000140521.12,Brain_Amygdala,50-59,male,8.887
27,POLG,ENSG00000140521.12,Brain_Amygdala,50-59,male,4.727
28,POLG,ENSG00000140521.12,Brain_Amygdala,50-59,male,4.414
29,POLG,ENSG00000140521.12,Brain_Amygdala,50-59,male,7.093
30,POLG,ENSG00000140521.12,Brain_Amygdala,50-59,male,12.66
31,POLG,ENSG00000140521.12,Brain_Amygdala,50-59,male,6.702
32,POLG,ENSG00000140521.12,Brain_Amygdala,50-59,male,10.71
33,POLG,ENSG00000140521.12,Brain_Amygdala,50-59,male,3.724
