,gene,gencodeId,tissue,age,gender,TPM
0,PPARG,ENSG00000132170.19,Brain_Amygdala,20-29,male,1.224
1,PPARG,ENSG00000132170.19,Brain_Amygdala,20-29,male,2.092
2,PPARG,ENSG00000132170.19,Brain_Amygdala,20-29,male,2.653
3,PPARG,ENSG00000132170.19,Brain_Amygdala,20-29,female,1.977
4,PPARG,ENSG00000132170.19,Brain_Amygdala,20-29,female,2.563
5,PPARG,ENSG00000132170.19,Brain_Amygdala,30-39,male,1.382
6,PPARG,ENSG00000132170.19,Brain_Amygdala,30-39,male,1.049
7,PPARG,ENSG00000132170.19,Brain_Amygdala,30-39,female,2.775
8,PPARG,ENSG00000132170.19,Brain_Amygdala,30-39,female,1.711
9,PPARG,ENSG00000132170.19,Brain_Amygdala,40-49,male,0.9723
10,PPARG,ENSG00000132170.19,Brain_Amygdala,40-49,male,1.168
11,PPARG,ENSG00000132170.19,Brain_Amygdala,40-49,male,1.744
12,PPARG,ENSG00000132170.19,Brain_Amygdala,40-49,male,1.168
13,PPARG,ENSG00000132170.19,Brain_Amygdala,40-49,male,2.607
14,PPARG,ENSG00000132170.19,Brain_Amygdala,40-49,male,1.065
15,PPARG,ENSG00000132170.19,Brain_Amygdala,40-49,male,2.237
16,PPARG,ENSG00000132170.19,Brain_Amygdala,40-49,male,0.8511
17,PPARG,ENSG00000132170.19,Brain_Amygdala,40-49,male,1.59
18,PPARG,ENSG00000132170.19,Brain_Amygdala,40-49,female,1.953
19,PPARG,ENSG00000132170.19,Brain_Amygdala,40-49,female,1.184
20,PPARG,ENSG00000132170.19,Brain_Amygdala,40-49,female,1.052
21,PPARG,ENSG00000132170.19,Brain_Amygdala,40-49,female,5.049
22,PPARG,ENSG00000132170.19,Brain_Amygdala,40-49,female,1.561
23,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,0.7188
24,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,2.455
25,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,0.9992
26,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,0.408
27,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,0.3492
28,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,0.7545
29,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,1.075
30,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,1.899
31,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,0.1929
32,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,0.5206
33,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,0.4076
34,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,0.837
35,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,0.8606
36,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,1.037
37,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,0.2887
38,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,1.438
39,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,1.468
40,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,1.732
41,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,1.386
42,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,1.274
43,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,0.9907
44,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,0.7964
45,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,1.598
46,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,0.6426
47,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,1.927
48,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,1.28
49,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,2.772
50,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,0.8392
51,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,1.866
52,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,0.9869
53,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,1.415
54,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,1.978
55,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,2.451
56,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,male,3.478
57,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,female,0.3769
58,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,female,0.9679
59,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,female,1.641
60,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,female,1.248
61,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,female,0.6451
62,PPARG,ENSG00000132170.19,Brain_Amygdala,50-59,female,0.8761
