,gene,gencodeId,tissue,age,gender,TPM
0,RGN,ENSG00000130988.12,Lung,20-29,male,16.78
1,RGN,ENSG00000130988.12,Lung,20-29,male,14.48
2,RGN,ENSG00000130988.12,Lung,20-29,male,50.19
3,RGN,ENSG00000130988.12,Lung,20-29,male,2.129
4,RGN,ENSG00000130988.12,Lung,20-29,male,23.4
5,RGN,ENSG00000130988.12,Lung,20-29,male,7.295
6,RGN,ENSG00000130988.12,Lung,20-29,male,20.09
7,RGN,ENSG00000130988.12,Lung,20-29,male,14.48
8,RGN,ENSG00000130988.12,Lung,20-29,male,26.85
9,RGN,ENSG00000130988.12,Lung,20-29,male,40.89
10,RGN,ENSG00000130988.12,Lung,20-29,male,31.17
11,RGN,ENSG00000130988.12,Lung,20-29,male,12.69
12,RGN,ENSG00000130988.12,Lung,20-29,male,7.647
13,RGN,ENSG00000130988.12,Lung,20-29,male,11.85
14,RGN,ENSG00000130988.12,Lung,20-29,male,9.355
15,RGN,ENSG00000130988.12,Lung,20-29,male,6.386
16,RGN,ENSG00000130988.12,Lung,20-29,male,19.63
17,RGN,ENSG00000130988.12,Lung,20-29,male,31.74
18,RGN,ENSG00000130988.12,Lung,20-29,male,13.81
19,RGN,ENSG00000130988.12,Lung,20-29,male,49.97
20,RGN,ENSG00000130988.12,Lung,20-29,male,9.283
21,RGN,ENSG00000130988.12,Lung,20-29,male,35.24
22,RGN,ENSG00000130988.12,Lung,20-29,female,22.77
23,RGN,ENSG00000130988.12,Lung,20-29,female,21.38
24,RGN,ENSG00000130988.12,Lung,20-29,female,43.0
25,RGN,ENSG00000130988.12,Lung,20-29,female,14.79
26,RGN,ENSG00000130988.12,Lung,20-29,female,4.131
27,RGN,ENSG00000130988.12,Lung,20-29,female,31.51
28,RGN,ENSG00000130988.12,Lung,20-29,female,40.58
29,RGN,ENSG00000130988.12,Lung,20-29,female,20.09
30,RGN,ENSG00000130988.12,Lung,20-29,female,10.33
31,RGN,ENSG00000130988.12,Lung,20-29,female,9.131
32,RGN,ENSG00000130988.12,Lung,20-29,female,25.24
33,RGN,ENSG00000130988.12,Lung,20-29,female,20.95
34,RGN,ENSG00000130988.12,Lung,20-29,female,22.77
35,RGN,ENSG00000130988.12,Lung,20-29,female,8.588
36,RGN,ENSG00000130988.12,Lung,30-39,male,30.3
37,RGN,ENSG00000130988.12,Lung,30-39,male,18.37
38,RGN,ENSG00000130988.12,Lung,30-39,male,55.11
39,RGN,ENSG00000130988.12,Lung,30-39,male,16.71
40,RGN,ENSG00000130988.12,Lung,30-39,male,11.18
41,RGN,ENSG00000130988.12,Lung,30-39,male,20.93
42,RGN,ENSG00000130988.12,Lung,30-39,male,12.83
43,RGN,ENSG00000130988.12,Lung,30-39,male,17.19
44,RGN,ENSG00000130988.12,Lung,30-39,male,22.12
45,RGN,ENSG00000130988.12,Lung,30-39,male,15.93
46,RGN,ENSG00000130988.12,Lung,30-39,male,37.41
