,gene,gencodeId,tissue,age,gender,TPM
0,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,43.02
1,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,43.76
2,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,36.84
3,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,59.76
4,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,51.16
5,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,49.24
6,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,45.55
7,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,50.42
8,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,41.4
9,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,39.9
10,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,38.26
11,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,41.17
12,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,40.86
13,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,61.04
14,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,39.9
15,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,49.48
16,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,50.5
17,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,52.24
18,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,30.35
19,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,29.89
20,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,62.95
21,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,46.77
22,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,37.04
23,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,68.14
24,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,60.64
25,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,56.61
26,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,68.84
27,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,39.37
28,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,55.38
29,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,55.7
30,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,50.42
31,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,31.26
32,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,39.9
33,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,48.16
34,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,61.34
35,TOP1,ENSG00000198900.5,Adipose_Subcutaneous,20-29,male,36.34
