,gene,gencodeId,tissue,age,gender,TPM
0,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,male,2.431
1,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,male,1.176
2,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,male,1.627
3,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,male,3.602
4,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,male,2.216
5,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,male,2.154
6,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,male,0.7756
7,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,male,2.436
8,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,male,2.267
9,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,male,2.17
10,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,male,1.988
11,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,male,1.176
12,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,male,1.043
13,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,female,4.812
14,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,female,1.44
15,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,female,2.47
16,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,female,1.228
17,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,female,1.78
18,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,female,1.528
19,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,female,2.238
20,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,female,1.945
21,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,female,0.5061
22,WRN,ENSG00000165392.9,Heart_Left_Ventricle,20-29,female,2.583
23,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,male,1.429
24,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,male,1.16
25,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,male,1.112
26,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,male,1.064
27,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,male,0.6763
28,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,male,1.311
29,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,male,2.48
30,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,male,1.265
31,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,male,1.676
32,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,male,1.989
33,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,male,0.4977
34,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,male,2.217
35,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,male,1.064
36,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,male,0.9085
37,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,male,1.979
38,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,male,0.6082
39,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,male,1.989
40,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,male,3.237
41,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,male,0.663
42,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,male,0.3193
43,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,female,1.316
44,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,female,1.922
45,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,female,1.927
46,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,female,1.796
47,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,female,1.172
48,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,female,2.748
49,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,female,1.311
50,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,female,1.393
51,WRN,ENSG00000165392.9,Heart_Left_Ventricle,30-39,female,2.901
52,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.34
53,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,0.957
54,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.25
55,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.656
56,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.064
57,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.619
58,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,0.3678
59,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.749
60,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,0.5321
61,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,6.708
62,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.2
63,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.57
64,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.162
65,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,2.097
66,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.572
67,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.562
68,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,0.5757
69,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.546
70,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.553
71,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,2.054
72,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,3.923
73,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,0.2639
74,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,0.9128
75,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.009
76,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,8.138
77,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.273
78,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.064
79,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,0.9176
80,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,3.153
81,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,6.4
82,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.027
83,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.695
84,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.718
85,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,2.038
86,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,2.07
87,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,2.366
88,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.226
89,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.562
90,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.768
91,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.114
92,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.114
93,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,0.9047
94,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.646
95,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.039
96,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.114
97,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.114
98,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.404
99,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.864
100,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,1.63
101,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,male,0.5727
102,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,female,1.779
103,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,female,2.113
104,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,female,2.344
105,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,female,2.325
106,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,female,0.5286
107,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,female,2.582
108,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,female,2.77
109,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,female,2.556
110,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,female,1.193
111,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,female,2.444
112,WRN,ENSG00000165392.9,Heart_Left_Ventricle,40-49,female,1.276
