,gene,gencodeId,tissue,age,gender,TPM
0,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,39.38
1,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,32.79
2,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,33.05
3,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,31.76
4,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,34.86
5,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,43.58
6,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,30.0
7,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,38.89
8,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,43.58
9,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,33.16
10,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,41.28
11,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,38.89
12,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,32.78
13,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,48.8
14,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,37.33
15,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,31.37
16,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,36.56
17,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,34.22
18,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,37.49
19,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,46.6
20,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,50.44
21,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,24.84
22,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,20.3
23,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,26.52
24,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,32.81
25,XPA,ENSG00000136936.10,Artery_Aorta,20-29,male,41.2
26,XPA,ENSG00000136936.10,Artery_Aorta,20-29,female,38.25
27,XPA,ENSG00000136936.10,Artery_Aorta,20-29,female,42.34
28,XPA,ENSG00000136936.10,Artery_Aorta,20-29,female,37.8
29,XPA,ENSG00000136936.10,Artery_Aorta,20-29,female,30.0
30,XPA,ENSG00000136936.10,Artery_Aorta,20-29,female,36.7
31,XPA,ENSG00000136936.10,Artery_Aorta,20-29,female,48.96
32,XPA,ENSG00000136936.10,Artery_Aorta,20-29,female,58.39
33,XPA,ENSG00000136936.10,Artery_Aorta,20-29,female,44.5
34,XPA,ENSG00000136936.10,Artery_Aorta,20-29,female,45.65
35,XPA,ENSG00000136936.10,Artery_Aorta,20-29,female,34.79
36,XPA,ENSG00000136936.10,Artery_Aorta,20-29,female,28.92
37,XPA,ENSG00000136936.10,Artery_Aorta,20-29,female,36.86
38,XPA,ENSG00000136936.10,Artery_Aorta,20-29,female,32.78
39,XPA,ENSG00000136936.10,Artery_Aorta,20-29,female,38.1
40,XPA,ENSG00000136936.10,Artery_Aorta,20-29,female,17.95
41,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,29.31
42,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,46.95
43,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,30.67
44,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,46.67
45,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,40.43
46,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,51.99
47,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,39.36
48,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,33.51
49,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,32.31
50,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,37.25
51,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,51.55
52,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,32.99
53,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,24.27
54,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,35.77
55,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,36.83
56,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,38.17
57,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,32.63
58,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,47.65
59,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,30.74
60,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,43.03
61,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,40.01
62,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,40.59
63,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,31.65
64,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,30.21
65,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,32.98
66,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,31.54
67,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,37.25
68,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,40.21
69,XPA,ENSG00000136936.10,Artery_Aorta,30-39,male,49.4
70,XPA,ENSG00000136936.10,Artery_Aorta,30-39,female,33.67
71,XPA,ENSG00000136936.10,Artery_Aorta,30-39,female,48.29
72,XPA,ENSG00000136936.10,Artery_Aorta,30-39,female,32.98
73,XPA,ENSG00000136936.10,Artery_Aorta,30-39,female,40.65
74,XPA,ENSG00000136936.10,Artery_Aorta,30-39,female,30.69
75,XPA,ENSG00000136936.10,Artery_Aorta,30-39,female,30.21
76,XPA,ENSG00000136936.10,Artery_Aorta,30-39,female,36.8
77,XPA,ENSG00000136936.10,Artery_Aorta,30-39,female,49.13
78,XPA,ENSG00000136936.10,Artery_Aorta,30-39,female,42.41
79,XPA,ENSG00000136936.10,Artery_Aorta,30-39,female,43.03
80,XPA,ENSG00000136936.10,Artery_Aorta,30-39,female,39.36
81,XPA,ENSG00000136936.10,Artery_Aorta,30-39,female,44.12
82,XPA,ENSG00000136936.10,Artery_Aorta,30-39,female,30.07
83,XPA,ENSG00000136936.10,Artery_Aorta,30-39,female,28.09
84,XPA,ENSG00000136936.10,Artery_Aorta,30-39,female,35.77
85,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,30.86
86,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,30.86
87,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,29.73
88,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,33.36
89,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,33.36
90,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,38.33
91,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,62.02
92,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,36.97
93,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,55.49
94,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,42.81
95,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,43.97
96,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,51.82
97,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,39.36
98,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,30.68
99,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,38.6
100,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,29.12
101,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,40.18
102,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,57.03
103,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,37.25
104,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,27.32
105,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,34.67
106,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,33.36
107,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,33.36
108,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,40.18
109,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,35.77
110,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,39.37
111,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,31.62
112,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,39.07
113,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,35.48
114,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,24.98
115,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,35.57
116,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,44.0
117,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,23.86
118,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,39.5
119,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,43.03
120,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,29.59
121,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,44.38
122,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,32.33
123,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,44.54
124,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,30.21
125,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,32.59
126,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,42.83
127,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,44.26
128,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,44.26
129,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,38.51
130,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,33.66
131,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,38.49
132,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,37.25
133,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,44.32
134,XPA,ENSG00000136936.10,Artery_Aorta,40-49,male,32.23
135,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,31.62
136,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,35.11
137,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,35.11
138,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,44.36
139,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,35.47
140,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,33.36
141,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,33.36
142,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,30.86
143,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,30.86
144,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,35.11
145,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,35.11
146,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,24.08
147,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,37.32
148,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,40.63
149,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,27.54
150,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,36.17
151,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,46.69
152,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,46.69
153,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,44.26
154,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,44.26
155,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,46.69
156,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,46.69
157,XPA,ENSG00000136936.10,Artery_Aorta,40-49,female,30.21
